"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","50","25497629","12","C/C","S","4267   Marina City Dr  #500","Marina Del Rey","3","2.00 (2 0 0 0)","1,722","$522.07","$899,000","$899,000","$1,763.23","0","1964","19"
"","25","25497659","12","C/C","S","4215   Glencoe Ave #116","Marina Del Rey","2","2.00 (2 0 0 0)","1,640","$835.37","$1,370,000","$1,370,000","$640.65","79,638","2008","0"
"","69","25498155","12","C/C","S","4265   Marina City Dr #317","Marina Del Rey","3","2.00 (2 0 0 0)","1,722","$481.42","$829,000","$805,000","$1,685.07","0","1964","53"
"","51","25499453","12","C/C","S","13600   Marina Pointe Dr #904","Marina Del Rey","2","3.00 (2 0 1 0)","1,853","$809.50","$1,500,000","$1,486,000","$2,188.28","122,529","1999","11"
"","1","25499765","12","C/C","S","13326   Beach Ave #104","Marina Del Rey","2","2.00 (2 0 0 0)","1,540","$795.39","$1,224,900","$1,215,000","$605.00","13,284","2007","14"
"","20","25499823","12","C/C","S","4310   Glencoe Ave #8","Marina Del Rey","2","3.00 (3 0 0 0)","1,866","$722.94","$1,349,000","$1,425,000","$637.00","552,201","1974","20"
"","26","25499953","12","C/C","S","25   Mast St ","Marina Del Rey","2","2.00 (2 0 0 0)","1,469","$1,157.25","$1,699,995","$1,627,055","$1,250.00","6,468","1972","4"
"","47","25500043","12","C/C","S","4115   Glencoe Ave #203","Marina Del Rey","2","2.00 (2 0 0 0)","1,370","$838.69","$1,149,000","$1,145,000","$700.00","39,570","2006","18"
"","3","25500543","12","C/C","S","4600   Via Dolce  #305","Marina Del Rey","2","2.00 (2 0 0 0)","1,462","$444.60","$650,000","$860,000","$971.00","194,654","1979","16"
"","37","25500797","12","C/C","S","4115   Glencoe Ave #313","Marina Del Rey","2","2.00 (2 0 0 0)","1,370","$726.28","$995,000","$985,000","$700.00","39,570","2006","42"
"","67","25500861","12","C/C","S","4346   Redwood Ave #A306","Marina Del Rey","2","2.00 (2 0 0 0)","2,253","$665.78","$1,499,999","$1,440,000","$1,189.00","259,551","1981","40"
"","14","25504169","12","C/C","S","3656   Via Dolce  ","Marina Del Rey","3","3.00 (3 0 0 0)","1,650","$1,000","$1,650,000","$1,560,000","$625.00","105,205","1978","81"
"","1","25504945","12","C/C","S","13222   Admiral Ave #D","Marina Del Rey","3","3.00 (2 0 1 0)","1,763","$850.26","$1,499,000","$1,585,000","$575.00","85,924","1967","11"
"","32","25505003","12","C/C","S","4316   Marina City Dr #125","Marina Del Rey","1","1.00 (1 0 0 0)","935","$533.69","$499,000","$465,000","$958.36","0","1972","25"
"","31","25505139","12","C/C","S","4527   Alla Rd #6","Marina Del Rey","2","3.00 (2 0 1 0)","1,646","$831.71","$1,369,000","$1,213,625","$805.00","196,087","1977","1"
"","29","25505651","12","C/C","S","4215   Glencoe Ave #203","Marina Del Rey","2","2.00 (2 0 0 0)","1,100","$817.27","$899,000","$895,000","$564.00","79,638","2008","17"
"","63","25506585","12","C/C","S","4335   Marina City  #136","Marina Del Rey","1","1.00 (1 0 0 0)","1,050","$571.33","$599,900","$585,000","$958.01","","","68"
"","25","25507105","12","C/C","S","4215   Glencoe Ave #102","Marina Del Rey","2","2.00 (2 0 0 0)","1,525","$753.44","$1,149,000","$1,100,000","$625.30","79,638","2008","26"
"","34","25507301","12","C/C","S","4732   La Villa Marina  #B","Marina Del Rey","2","3.00 (2 0 1 0)","1,582","$821.11","$1,299,000","$1,250,000","$575.00","66,582","1966","14"
"","44","25507723","12","C/C","S","13600   Marina Pointe Dr #304","Marina Del Rey","2","3.00 (3 0 0 0)","1,885","$769.23","$1,450,000","$1,450,000","$2,188.28","122,529","1999","9"
"","32","25510419","12","C/C","S","11823   Avon Way #107","Los Angeles","2","3.00 (2 0 1 0)","970","$782.47","$759,000","$812,000","$350.00","7,345","1991","8"
"","16","25511465","12","C/C","S","4365   Mclaughlin Ave #26","Los Angeles","2","3.00 (3 0 0 0)","1,212","$609.74","$739,000","$720,000","$540.00","54,064","1980","109"
