"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","7","22-221255","12","C/C","S","5100   Via Dolce  #101","Marina Del Rey","2","2.00 (2 0 0 0)","1,420","$773.94","$1,099,000","$1,079,000","$700.00","100,437","1978","13"
"","1","22-222215","12","C/C","S","306   Bora Bora Way #108","Marina Del Rey","2","2.00 (2 0 0 0)","1,492","$890.75","$1,329,000","$1,310,000","$700.00","100,437","1978","38"
"","28","22-222393","12","C/C","S","18   Privateer St #2","Marina Del Rey","1","2.00 (1 0 1 0)","720","$1,562.50","$1,125,000","$1,045,000","$250.00","3,147","1974","40"
"","2","22-222461","12","C/C","S","13082   Mindanao Way #23","Marina Del Rey","2","3.00 (3 0 0 0)","2,199","$727.60","$1,600,000","$1,567,000","$1,018.00","538,756","1980","59"
"","1","22-222473","12","C/C","S","13700   Marina Pointe Dr #823","Marina Del Rey","2","2.00 (2 0 0 0)","1,724","$754.06","$1,300,000","$1,300,000","$1,197.20","124,670","2003","0"
"","29","22-223789","12","C/C","S","4922 1/2  Mcconnell Ave ","Los Angeles","3","3.00 (3 0 0 0)","1,858","$672.77","$1,250,000","$1,200,000","$530.00","94,892","1972","19"
"","18","22-224563","12","C/C","S","16   Quarterdeck St #203","Marina Del Rey","2","2.00 (2 0 0 0)","1,102","$1,088.02","$1,199,000","$1,135,888","$335.00","6,104","1972","78"
"","38","22-227583","12","C/C","S","5510   Pacific Ave ","Marina Del Rey","3","3.00 (1 1 1 0)","1,772","$930.59","$1,649,000","$1,958,000","","3,711","1979","9"
"","33","23-228435","12","C/C","S","310   Tahiti Way #305","Marina Del Rey","2","2.00 (2 0 0 0)","1,462","$751.71","$1,099,000","$1,000,000","$811.00","194,601","1979","36"
"","1","23-228541","12","C/C","S","100   Driftwood St #10","Marina Del Rey","2","2.00 (2 0 0 0)","898","$1,112.47","$999,000","$1,025,000","$396.00","8,680","1969","9"
"","1","23-228705","12","C/C","S","310   Washington Blvd #307","Marina Del Rey","4","3.00 (3 0 0 0)","2,040","$832.84","$1,699,000","$1,800,000","$223.04","8,720","2012","7"
"","25","23-230249","12","C/C","S","13700   MARINA POINTE DR #704","MARINA DEL REY","2","2.00 (2 0 0 0)","1,240","$1,044.35","$1,295,000","$1,250,000","$1,080.00","124,670","2003","1"
"","1","23-231125","12","C/C","S","13229   Fiji Way #K","Marina Del Rey","3","3.00 (2 0 1 0)","1,647","$867.64","$1,429,000","$1,435,000","$430.00","87,554","1968","12"
"","18","23-231337","12","C/C","S","3422   SCHOONER AVE ##11","MARINA DEL REY","2","3.00 (2 0 1 0)","1,350","$907.41","$1,225,000","$1,183,800","$400.00","9,859","1969","13"
