Open Houses,Photo,MLS,AR,Type,S,Address,City,BR,Baths(FTHQ),SqFt,LP $/SqFt,LP,SP,HOD,Lot Sz,YB,DOM,latitude,longitude,unit_count
,12.0,24-405520,11,C/C,S,18  N Venice Blvd #A,Venice,2.0,2.00 (2 0 0 0),1456,$884.62,"$1,288,000","$1,425,000",$675.00,"4,981",1983.0,7,33.9845093,-118.470756,
,1.0,24-421457,11,C/C,S,717   Venice Blvd ,Venice,1.0,1.00 (1 0 0 0),870,$402.30,"$350,000","$350,000",$514.00,"8,152",2017.0,28,33.9909464,-118.4583967,
,45.0,24-430295,11,C/C,S,100  S Venice Blvd #8,Venice,2.0,2.00 (1 1 0 0),966,$982.40,"$949,000","$949,000",$641.81,"6,641",1973.0,29,33.984485,-118.469467,
,34.0,24-432971,11,C/C,S,615   Hampton Dr #C304,Venice,2.0,2.00 (2 0 0 0),1737,$949.91,"$1,650,000","$1,644,000",$635.00,"14,228",2004.0,132,33.9948292,-118.4751824,
,28.0,24-457765,11,C/C,S,235   Main St #319,Venice,2.0,2.00 (2 0 0 0),1366,"$1,061.49","$1,450,000","$1,450,000",$930.82,"73,400",1989.0,0,33.9947352,-118.4766702,
,63.0,24-461785,11,C/C,S,255   Main St #106,Venice,2.0,2.00 (2 0 0 0),1188,$837.54,"$995,000","$995,000",$823.25,"73,400",1989.0,21,33.9947218,-118.4766585,
,10.0,24-423747,11,C/C,S,445   Washington Blvd #11,Marina Del Rey,2.0,1.00 (1 0 0 0),780,"$1,024.36","$799,000","$790,000",$510.00,"12,508",1978.0,16,33.9776848,-118.448647,
,34.0,24-469043,11,C/C,S,25   Brooks Ave #3,Venice,2.0,3.00 (2 0 1 0),2024,"$1,232.71","$2,495,000","$2,391,150",$565.00,"7,173",2002.0,80,33.9910975,-118.4762704,
,33.0,25-477631,11,C/C,S,659   Broadway St ,Venice,4.0,4.00 (3 0 1 0),3200,$812.19,"$2,599,000","$2,600,000",$0.00,"4,796",2016.0,32,33.9955545,-118.4667125,
,36.0,25-488601,11,C/C,S,457   Washington Blvd ,Marina Del Rey,3.0,3.00 (1 2 0 0),1956,$817.48,"$1,599,000","$1,550,000",$385.00,"2,501",2002.0,14,33.9776848,-118.448647,
,33.0,25-490057,11,C/C,S,615   HAMPTON DR #B201,VENICE,2.0,2.00 (1 0 1 0),1635,$963.30,"$1,575,000","$1,550,000",$614.00,"11,549",2004.0,125,33.9948292,-118.4751824,
,45.0,25494667,11,C/C,S,654   Broadway St ,Venice,2.0,2.00 (1 0 1 0),1100,$904.55,"$995,000","$990,000",$500.00,,,33,33.9953622,-118.4667069,
,17.0,25496663,11,C/C,S,1046   Princeton Dr #121,Venice,4.0,2.00 (2 0 0 0),3700,$634.86,"$2,349,000","$2,275,000","$1,374.18","46,290",2010.0,13,33.9855419,-118.4484439,
,24.0,25506775,11,C/C,S,2010   Alberta Ave ,Venice,4.0,4.00 (3 0 1 0),2117,"$1,038.73","$2,199,000","$2,199,000",$425.23,"3,002",1992.0,6,33.9865368,-118.4690362,
,1.0,25504787,11,C/C,S,615   Hampton Dr #B105,Venice,1.0,1.00 (1 0 0 0),1037,"$1,205.40","$1,250,000","$1,150,000",$571.00,"11,552",2004.0,68,33.9948292,-118.4751824,
,20.0,25515147,11,C/C,S,710   4th Ave #1,Venice,3.0,3.00 (3 0 0 0),1760,$937.44,"$1,649,900","$1,670,000",$500.00,"10,684",1992.0,12,33.9951495,-118.4727352,
,24.0,25521819,11,C/C,S,741   Mildred Ave #7,Venice,2.0,3.00 (2 0 1 0),1924,"$1,036.90","$1,995,000","$1,935,855",$350.00,"14,077",2007.0,28,33.9874878,-118.4592047,
,31.0,25523669,11,C/C,S,17   20th Ave #B,Venice,2.0,3.00 (2 0 1 0),1449,"$1,035.20","$1,500,000","$1,480,000",$0.00,"2,642",1983.0,84,33.9851289,-118.4713936,
,20.0,25524857,11,C/C,S,255   Main St #204,Venice,2.0,2.00 (2 0 0 0),1188,$883.00,"$1,049,000","$1,065,000",$763.76,"73,400",1989.0,10,33.9947218,-118.4766585,
,18.0,25525837,11,C/C,S,22   Navy St #206,Venice,1.0,1.00 (1 0 0 0),619,"$1,533.93","$949,500","$910,000",$720.00,"20,258",1973.0,58,33.9962116,-118.4807313,
,39.0,25527755,11,C/C,S,615   Mildred Ave ,Venice,3.0,3.00 (2 0 1 0),1978,"$1,059.15","$2,095,000","$2,050,000",,"8,003",1981.0,9,33.987193,-118.4637474,
